"","Player","Position","Points","Total.Rebounds","Assists","Steals","Blocks","Missed.Field.Goals","Missed.Free.Throws","Turnovers","Games.Played","Efficiency.Index","Salary..."
"1","Aaron Brooks","PG",491,101,180,30,10,281,15,82,69,0.485309424530378,2e+06
"2","Aaron Gordon","PF",719,507,128,59,55,305,64,66,78,1.53286008801712,4171680
"3","Aaron Harrison","SG",18,15,2,6,0,14,7,4,21,-0.0267861504874665,525093
"4","Adreian Payne","PF",132,111,29,16,11,92,9,36,52,0.238144181409982,1938840
"5","Al Horford","C",1249,596,263,68,121,519,26,107,82,2.81349420026939,1.2e+07
"6","Al Jefferson","C",562,301,70,30,41,260,39,34,47,1.65082098540281,13833333
"7","Al-Farouq Aminu","SF",839,499,138,72,53,420,41,120,82,1.54548266989716,7500000
"8","Alan Anderson","SG",65,27,14,4,1,38,4,2,13,0.753180662782483,4e+06
"9","Alan Williams","PF",29,38,5,4,5,14,5,6,10,0.637903942911396,114285
"10","Alec Burks","SG",412,109,63,18,4,197,35,51,31,0.12556444869057,9213484
"11","Alex Len","C",703,594,97,38,62,360,65,145,78,0.777842684673453,3807120
"12","Alex Stepheson","PF",2,2,0,0,2,0,2,0,4,0.026213686501406,61776
"13","Alexis Ajinca","C",352,269,31,19,36,165,10,54,59,0.757455169280346,4300000
"14","Allen Crabbe","SG",832,216,99,63,16,367,15,64,81,1.43940720529548,947276
"15","Alonzo Gee","SF",325,245,72,63,13,123,22,55,73,1.10122422493501,1375000
"16","Amar'e Stoudemire","C",300,222,27,18,41,96,17,47,52,0.938315725665504,1499187
"17","Amir Johnson","PF",577,505,138,52,83,177,52,94,79,1.74198364342507,1.2e+07
"18","Anderson Varejao","C",58,50,15,5,5,27,13,6,22,0.49072828042732,458575
"19","Andre Drummond","C",1314,1198,67,119,112,508,378,155,81,1.72040861757959,3272091
"20","Andre Iguodala","SF",457,263,219,73,19,192,32,79,65,1.78939884459126,11710456
"21","Andre Miller","PG",56,27,29,7,0,25,4,12,13,0.615671727421341,396844
"22","Andre Roberson","SG",337,251,47,53,42,138,21,35,70,2.20193755927789,1210800
"23","Andrea Bargnani","C",304,97,18,4,9,152,10,26,46,0.11011102752953,1362900
"24","Andrew Bogut","C",375,492,162,33,114,104,26,83,70,2.31206151194877,1.2e+07
"25","Andrew Goudelock","PG",22,2,4,6,2,11,1,7,8,0.518613582670665,200600
"26","Andrew Nicholson","PF",384,201,25,10,22,164,14,41,56,0.453290801989912,2380594
"27","Andrew Wiggins","SF",1675,292,164,78,46,700,135,182,81,-0.135352727342641,5758680
"28","Anthony Bennett","PF",28,23,0,5,0,19,1,4,19,0.206421192594219,947276
"29","Anthony Brown","SF",115,70,19,14,5,87,3,15,29,0.608208856775031,7e+05
"30","Anthony Davis","PF",1481,627,116,78,125,576,104,121,61,2.31798924533908,7070730
"31","Anthony Morrow","SG",380,62,24,22,5,197,10,17,68,0.379386820736804,3344000
"32","Anthony Tolliver","PF",383,229,52,26,16,204,18,28,72,0.683869368872621,3e+06
"33","Archie Goodwin","PG",505,142,118,27,13,246,63,100,57,-0.038798533404915,1160160
"34","Aron Baynes","C",514,384,51,21,52,190,39,67,81,0.822358422164551,6500000
"35","Arron Afflalo","SG",909,266,144,25,10,445,21,82,71,1.1448502927613,8e+06
"36","Austin Rivers","SG",593,130,99,48,9,290,37,61,67,0.631425181348988,3100000
"37","Avery Bradley","SG",1155,220,158,117,19,563,27,109,76,1.81135060332303,7730337
"38","Axel Toupane","SF",76,31,15,7,6,45,4,6,21,0.560428567087316,123552
"39","Ben McLemore","SG",531,148,79,52,10,260,29,99,68,0.537075198006829,3156600
"40","Beno Udrih","PG",158,63,90,11,0,86,2,42,36,0.461626082701493,2170465
"41","Bismack Biyombo","C",454,655,29,19,133,132,84,71,82,1.44289905083908,3e+06
"42","Blake Griffin","PF",749,294,170,28,17,302,53,83,35,1.2145300357692,18907725
"43","Boban Marjanovic","C",297,194,21,12,23,69,27,29,54,0.737905750886107,1200000
"44","Bobby Portis","PF",436,337,52,25,22,250,18,54,62,0.763946529872638,1391160
"45","Bojan Bogdanovic","SF",887,255,99,29,5,425,22,115,79,0.273508720367915,3425510
"46","Boris Diaw","PF",485,233,176,26,21,181,20,97,76,0.739536569877379,7e+06
"47","Bradley Beal","SG",958,188,162,54,11,440,41,112,55,1.00824842837571,5694674
"48","Brandan Wright","PF",83,43,6,5,15,17,11,10,12,0.92346290365124,5500000
"49","Branden Dawson","PF",5,4,0,0,1,3,0,0,6,0.198736406319208,525093
"50","Brandon Bass","PF",473,285,74,33,55,143,23,42,66,1.55979376576983,3e+06
"51","Brandon Jennings","PG",175,50,100,18,5,102,10,35,25,0.866689057036144,8344497
"52","Brandon Knight","SG",1018,202,263,61,20,524,27,177,52,1.51636034599606,1.2e+07
"53","Brandon Rush","SG",305,181,57,20,23,149,10,33,72,1.24634197005865,1270964
"54","Brian Roberts","PG",60,12,16,3,1,27,2,7,21,0.209662849023901,2854940
"55","Briante Weber","PG",2,1,1,0,0,0,0,0,1,0.525353792191918,12355
"56","Brook Lopez","C",1501,573,147,58,124,566,86,175,73,1.75911995541421,2e+07
"57","Bruno Caboclo","SF",3,2,1,2,1,11,0,4,6,-0.0984034022030084,1524000
"58","Bryce Cotton","PG",4,0,0,0,0,0,0,0,5,0.0477937118590917,64622
"59","Bryce Dejean-Jones","SG",79,48,15,10,2,41,10,11,14,0.870787471878887,281659
"60","C.J. McCollum","SG",1666,259,341,97,23,790,39,196,80,1.63192786543132,2525160
"61","C.J. Miles","SF",753,175,63,53,29,375,31,70,64,0.676981624590781,4394225
"62","C.J. Watson","PG",142,66,88,19,5,90,5,25,33,0.97037190912136,5e+06
"63","C.J. Wilcox","SG",70,12,10,10,2,40,3,2,23,0.507652160282591,1159680
"64","Cameron Bairstow","C",34,28,6,2,3,27,1,4,18,0.238716117105512,845059
"65","Cameron Payne","PG",283,85,108,36,6,164,5,44,57,0.759811788163589,2021520
"66","Carl Landry","PF",351,146,32,12,9,111,24,22,36,0.63125854928773,6500000
"67","Carmelo Anthony","SF",1573,556,299,62,38,740,69,176,72,1.58567536044248,22875000
"68","Caron Butler","SF",63,22,10,9,1,34,2,3,17,0.603065562925821,1499187
"69","Chandler Parsons","SF",837,285,169,46,21,331,43,95,61,1.21954741364316,15361500
"70","Channing Frye","C",196,93,26,8,8,90,3,13,26,0.908877363974906,7807579
"71","Charlie Villanueva","PF",319,152,24,18,15,202,2,31,62,0.435704530736859,1499187
"72","Chase Budinger","SF",216,121,49,29,9,113,14,31,49,0.717970675157264,5e+06
"73","Chris Andersen","C",92,89,9,14,10,28,10,7,20,1.40803475521058,5e+06
"74","Chris Bosh","PF",1010,390,128,36,34,409,55,78,53,1.26393566147517,22192730
"75","Chris Johnson","SF",205,132,45,32,20,122,8,40,70,0.648760259848795,981348
"76","Chris Kaman","C",44,24,11,1,1,23,0,8,16,0.189896213813104,5e+06
"77","Chris McCullough","PF",112,68,9,28,12,65,12,15,24,1.13157605531987,1140240
"78","Chris Paul","PG",1446,310,738,152,13,599,34,194,74,2.85683814483728,21468696
"79","Christian Wood","PF",61,38,3,5,7,31,8,2,17,0.458316409085379,305789
"80","Chuck Hayes","C",4,8,2,0,0,1,0,3,2,0.0316593557261755,83583
"81","Cleanthony Early","SF",31,26,6,2,3,28,1,9,17,0.180974172724838,845059
"82","Cliff Alexander","PF",10,6,0,1,2,5,0,1,8,0.323533882433667,525093
"83","Clint Capela","C",542,494,47,59,92,166,131,60,77,1.50718624206494,1242720
"84","Cody Zeller","C",638,455,71,57,63,206,57,68,73,1.7095961509853,4204200
"85","Cole Aldrich","C",328,288,50,47,68,91,24,64,60,1.64601627882607,1100600
"86","Corey Brewer","SF",590,199,109,84,19,340,35,78,82,0.770662889020192,8200000
"87","Cory Jefferson","PF",22,16,0,0,1,13,2,0,8,0.105404824800446,421449
"88","Cory Joseph","SG",677,210,250,63,20,328,41,102,80,1.38317205361168,7e+06
"89","Coty Clarke","SF",6,1,0,0,0,2,0,1,3,-0.0697214950024566,61776
"90","Courtney Lee","SG",250,87,60,33,12,122,3,23,28,2.49715753388832,5675000
"91","Cristiano Felicio","C",105,102,26,6,13,32,10,13,31,0.835166183493492,525090
"92","D.J. Augustin","PG",325,52,132,25,2,127,17,54,28,0.722540650998461,3e+06
"93","D'Angelo Russell","PG",1054,274,266,93,13,564,50,196,80,0.738517439415702,5103120
"94","Dahntay Jones","SF",13,5,2,1,2,8,0,0,1,3.46433472867296,8819
"95","Damian Lillard","PG",1879,302,512,65,28,856,50,242,75,1.28863221950801,4236287
"96","Damien Inglis","SF",36,31,10,6,3,24,1,11,20,0.401244744223545,855000
"97","Damjan Rudez","SF",75,20,11,3,1,37,0,13,33,0.0902975088142951,1149500
"98","Danilo Gallinari","SF",1036,281,135,42,19,413,57,77,53,1.06478750474035,1.4e+07
"99","Danny Green","SG",572,303,141,79,64,350,12,75,79,2.79616928247505,1e+07
"100","Dante Cunningham","SF",484,236,77,42,33,226,25,41,80,0.994138510072157,3e+06
